ANO;MÊS;PRODUTO;OPERAÇÃO COMERCIAL;IMPORTADO / EXPORTADO;DISPÊNDIO / RECEITA
2012;MAR;PETRÓLEO;IMPORTAÇÃO;1369698,759;1122551552
2012;NOV;PETRÓLEO;IMPORTAÇÃO;2193487,533;1567014194
2012;OUT;PETRÓLEO;IMPORTAÇÃO;567239,9476;418055242
2012;SET;PETRÓLEO;IMPORTAÇÃO;1437658,551;998017992
2013;ABR;PETRÓLEO;EXPORTAÇÃO;1133544,736;675674329
2013;AGO;PETRÓLEO;EXPORTAÇÃO;1879212,81;1088002165
2013;DEZ;PETRÓLEO;EXPORTAÇÃO;3069962,243;1770642759
2013;FEV;PETRÓLEO;EXPORTAÇÃO;1717736,893;1032218102
2013;JAN;PETRÓLEO;EXPORTAÇÃO;818687,4823;473625468
2013;JUL;PETRÓLEO;EXPORTAÇÃO;1292904,449;692158186
2013;JUN;PETRÓLEO;EXPORTAÇÃO;1293103,038;728293100
2013;MAI;PETRÓLEO;EXPORTAÇÃO;1943946,581;1096945579
2013;MAR;PETRÓLEO;EXPORTAÇÃO;2043853,183;1290209733
2013;NOV;PETRÓLEO;EXPORTAÇÃO;2684151,88;1574214894
2013;OUT;PETRÓLEO;EXPORTAÇÃO;1647705,056;980878038
2013;SET;PETRÓLEO;EXPORTAÇÃO;2570836,643;1553745089
2013;ABR;PETRÓLEO;IMPORTAÇÃO;1828551,873;1406353586
2013;AGO;PETRÓLEO;IMPORTAÇÃO;992555,3183;708375962
2013;DEZ;PETRÓLEO;IMPORTAÇÃO;1850061,837;1384731474
2013;FEV;PETRÓLEO;IMPORTAÇÃO;1520363,184;1122987868
2013;JAN;PETRÓLEO;IMPORTAÇÃO;1698149,675;1220020142
2013;JUL;PETRÓLEO;IMPORTAÇÃO;4502092,937;3144117294
2013;JUN;PETRÓLEO;IMPORTAÇÃO;1393646,111;971222564
2013;MAI;PETRÓLEO;IMPORTAÇÃO;2380842,646;1439387300
2013;MAR;PETRÓLEO;IMPORTAÇÃO;1696638,945;1267772303
2013;NOV;PETRÓLEO;IMPORTAÇÃO;1373961,276;988490968
2013;OUT;PETRÓLEO;IMPORTAÇÃO;3060027,055;1925983963
2013;SET;PETRÓLEO;IMPORTAÇÃO;1207536,087;883859473
2014;ABR;PETRÓLEO;EXPORTAÇÃO;1811362,118;1078398533
2014;AGO;PETRÓLEO;EXPORTAÇÃO;2581866,222;1488898574
2014;DEZ;PETRÓLEO;EXPORTAÇÃO;3559645,512;1446464989
2014;FEV;PETRÓLEO;EXPORTAÇÃO;1467415,183;795771598
2014;JAN;PETRÓLEO;EXPORTAÇÃO;1897045,292;1111427967
2014;JUL;PETRÓLEO;EXPORTAÇÃO;4356290,733;2602565612
2014;JUN;PETRÓLEO;EXPORTAÇÃO;2424855,312;1417716022
2014;MAI;PETRÓLEO;EXPORTAÇÃO;2501574,21;1435617332
2014;MAR;PETRÓLEO;EXPORTAÇÃO;1687991,313;975553711
2014;NOV;PETRÓLEO;EXPORTAÇÃO;2928139,611;1376055404
2014;OUT;PETRÓLEO;EXPORTAÇÃO;2496706,647;1301079260
